Flair&Type,Points
Clips and Highlights & Video,145,
 Fluff & Image,455,
 Fluff & Video,67,
 Fluff & Other,55,
Discussion & Image,165,
Discussion & Video,265,
Discussion & Other,136,
Arts and Miscellaneous & Image,90,
Discussion & Text,74,
News and Announcements & Other,56,
