Flair&Type,Points
Arts and Miscellaneous & Video,35,
 Fluff & Image,357,
 Fluff & Video,176,
Clips and Highlights & Image,91,
Clips and Highlights & Video,594,
News and Announcements & Video,25,
Arts and Miscellaneous & Image,602,
Discussion & Image,0,
News and Announcements & Image,42,
Other & Video,28,
