Flair&Type,Points
 Fluff & Image,958,
News and Announcements & Image,32,
Discussion & Text,299,
Discussion & Image,310,
Discussion & Video,43,
Arts and Miscellaneous & Image,45,
News and Announcements & Other,58,
 Fluff & Text,34,
Other & Image,28,
Clips and Highlights & Image,34,
