Flair&Type,Points
 Fluff & Image,243,
 Fluff & Video,175,
News and Announcements & Image,24,
Discussion & Image,78,
Discussion & Video,632,
Other & Image,36,
Arts and Miscellaneous & Image,492,
Arts and Miscellaneous & Video,88,
Guides and Tips & Image,28,
News and Announcements & Video,17,
