Flair&Type,Points
 Fluff & Image,580,
 Fluff & Video,177,
Clips and Highlights & Video,200,
Suggestion and Feedback & Image,137,
Discussion & Image,355,
Discussion & Video,130,
Arts and Miscellaneous & Image,142,
Other & Image,103,
Bugs and Reports & Video,36,
Suggestion and Feedback & Video,30,
