Flair&Type,Points
Clips and Highlights & Video,837,
News and Announcements & Other,10,
Suggestion and Feedback & Text,85,
Discussion & Text,114,
Discussion & Image,189,
Discussion & Video,426,
Discussion & Other,70,
Clips and Highlights & Other,43,
Suggestion and Feedback & Image,33,
Other & Text,10,
