Flair&Type,Points
Clips and Highlights & Video,172,
 Fluff & Image,596,
 Fluff & Video,45,
Other & Image,132,
Discussion & Image,191,
Arts and Miscellaneous & Image,211,
Discussion & Text,63,
News and Announcements & Other,86,
Bugs and Reports & Image,69,
 Fluff & Text,49,
