Flair&Type,Points
 Fluff & Image,1119,
 Fluff & Video,265,
Bugs and Reports & Image,20,
Discussion & Image,58,
Discussion & Other,39,
Arts and Miscellaneous & Image,143,
Discussion & Text,90,
Arts and Miscellaneous & Video,25,
Suggestion and Feedback & Text,44,
Bugs and Reports & Text,41,
