Flair&Type,Points
Arts and Miscellaneous & Video,25,
 Fluff & Image,368,
 Fluff & Video,394,
Suggestion and Feedback & Video,35,
Other & Video,179,
Discussion & Image,96,
Discussion & Video,395,
Arts and Miscellaneous & Image,219,
Suggestion and Feedback & Image,38,
Other & Image,113,
