Week,Type,Type Points
6,Text,0,
6,Image,150,
6,Video,163,
6,Other,12,
7,Text,31,
7,Image,142,
7,Video,99,
7,Other,53,
8,Text,43,
8,Image,166,
8,Video,48,
8,Other,68,
9,Text,0,
9,Image,215,
9,Video,69,
9,Other,41,
10,Text,42,
10,Image,180,
10,Video,70,
10,Other,33,
11,Text,1,
11,Image,140,
11,Video,143,
11,Other,41,
