Week,Type,Type Points
6,Text,38,
6,Image,189,
6,Video,69,
6,Other,29,
7,Text,32,
7,Image,228,
7,Video,56,
7,Other,9,
8,Text,5,
8,Image,282,
8,Video,18,
8,Other,20,
9,Text,40,
9,Image,123,
9,Video,149,
9,Other,13,
10,Text,41,
10,Image,219,
10,Video,38,
10,Other,27,
11,Text,48,
11,Image,210,
11,Video,22,
11,Other,45,
