Week,Type,Type Points
6,Text,0,
6,Image,111,
6,Video,214,
6,Other,0,
7,Text,0,
7,Image,148,
7,Video,177,
7,Other,0,
8,Text,0,
8,Image,164,
8,Video,161,
8,Other,0,
9,Text,0,
9,Image,224,
9,Video,101,
9,Other,0,
10,Text,0,
10,Image,107,
10,Video,218,
10,Other,0,
11,Text,0,
11,Image,108,
11,Video,217,
11,Other,0,
