Week,Type,Type Points
6,Text,0,
6,Image,196,
6,Video,129,
6,Other,0,
7,Text,0,
7,Image,217,
7,Video,108,
7,Other,0,
8,Text,0,
8,Image,225,
8,Video,100,
8,Other,0,
9,Text,0,
9,Image,252,
9,Video,73,
9,Other,0,
10,Text,0,
10,Image,207,
10,Video,118,
10,Other,0,
11,Text,0,
11,Image,238,
11,Video,87,
11,Other,0,
