Week,Type,Type Points
6,Text,0,
6,Image,135,
6,Video,190,
6,Other,0,
7,Text,0,
7,Image,208,
7,Video,117,
7,Other,0,
8,Text,0,
8,Image,126,
8,Video,199,
8,Other,0,
9,Text,0,
9,Image,169,
9,Video,156,
9,Other,0,
10,Text,0,
10,Image,201,
10,Video,124,
10,Other,0,
11,Text,0,
11,Image,253,
11,Video,72,
11,Other,0,
