Week,Type,Type Points
6,Text,47,
6,Image,0,
6,Video,257,
6,Other,21,
7,Text,23,
7,Image,51,
7,Video,244,
7,Other,7,
8,Text,14,
8,Image,95,
8,Video,206,
8,Other,10,
9,Text,5,
9,Image,13,
9,Video,285,
9,Other,22,
10,Text,53,
10,Image,60,
10,Video,167,
10,Other,45,
11,Text,79,
11,Image,31,
11,Video,197,
11,Other,18,
