Week,Type,Type Points
6,Text,0,
6,Image,178,
6,Video,146,
6,Other,1,
7,Text,0,
7,Image,155,
7,Video,170,
7,Other,0,
8,Text,0,
8,Image,96,
8,Video,229,
8,Other,0,
9,Text,0,
9,Image,168,
9,Video,157,
9,Other,0,
10,Text,0,
10,Image,167,
10,Video,158,
10,Other,0,
11,Text,0,
11,Image,173,
11,Video,152,
11,Other,0,
