Week,Type,Type Points
6,Text,0,
6,Image,228,
6,Video,89,
6,Other,8,
7,Text,0,
7,Image,308,
7,Video,17,
7,Other,0,
8,Text,23,
8,Image,260,
8,Video,42,
8,Other,0,
9,Text,11,
9,Image,243,
9,Video,71,
9,Other,0,
10,Text,55,
10,Image,171,
10,Video,76,
10,Other,23,
11,Text,89,
11,Image,164,
11,Video,56,
11,Other,16,
