Week,Type,Type Points
6,Text,38,
6,Image,6,
6,Video,281,
6,Other,0,
7,Text,85,
7,Image,35,
7,Video,205,
7,Other,0,
8,Text,13,
8,Image,20,
8,Video,292,
8,Other,0,
9,Text,20,
9,Image,28,
9,Video,277,
9,Other,0,
10,Text,22,
10,Image,25,
10,Video,278,
10,Other,0,
11,Text,87,
11,Image,41,
11,Video,197,
11,Other,0,
