Week,Type,Type Points
6,Text,50,
6,Image,218,
6,Video,47,
6,Other,10,
7,Text,134,
7,Image,158,
7,Video,0,
7,Other,33,
8,Text,41,
8,Image,262,
8,Video,22,
8,Other,0,
9,Text,34,
9,Image,258,
9,Video,0,
9,Other,33,
10,Text,58,
10,Image,223,
10,Video,35,
10,Other,9,
11,Text,24,
11,Image,288,
11,Video,7,
11,Other,6,
