Flair&Type,Points
Clips and Highlights & Video,1948,
 Fluff & Image,4676,
 Fluff & Video,1350,
Other & Image,412,
Discussion & Image,1544,
Arts and Miscellaneous & Image,1984,
Discussion & Text,800,
Discussion & Other,245,
Arts and Miscellaneous & Video,265,
Discussion & Video,2695,
